date,time,temperature (F),humidity (%),barometric_pressure (hPa),weather,wind_speed (m/s),wind_direction (°),dew_point (F),visibility (mi),cloud_cover,ceiling (ft),heat_index (F),wind_chill (F),precipitation_last_hour (in),station_elevation (ft),station_name,species_target,estimated_water_temp (F),fishing_note,pressure_trend
2025-03-30,12:53,51.08,4.3236163467396835,1011.2,Clear,16.56,130,30.02,9.997862483098704,CLR,,,,,2867.45416,KBOI,"Warmwater (e.g., bass)",42.8,Cold front – slow retrieves deep.,N/A
2025-03-30,10:53,44.96,6.666640471326272,1012.2,Clear,20.52,120,33.08,9.997862483098704,CLR,,,38.842908357778,,2867.45416,KBOI,"Warmwater (e.g., bass)",34.7,Cold front – slow retrieves deep.,Rising
2025-03-30,08:53,37.04,9.306205118632276,1012.5,Clear,16.56,130,30.92,9.997862483098704,CLR,,,29.841919742824,,2867.45416,KBOI,"Warmwater (e.g., bass)",28.8,Cold front – slow retrieves deep.,Rising
2025-03-30,07:53,33.98,10.623918699857008,1012.5,Clear,14.76,130,30.02,9.997862483098704,CLR,,,26.602812938306002,,2867.45416,KBOI,"Warmwater (e.g., bass)",26.6,Cold front – slow retrieves deep.,Falling
2025-03-30,06:53,33.08,10.691959531534355,1012.5,Clear,12.96,130,28.94,9.997862483098704,CLR,,,26.129340235965,,2867.45416,KBOI,"Warmwater (e.g., bass)",26.6,Cold front – slow retrieves deep.,Falling
2025-03-30,05:53,32.0,11.363526424269226,1012.5,Clear,9.36,140,28.94,9.997862483098704,CLR,,,26.376870043030998,,2867.45416,KBOI,"Warmwater (e.g., bass)",27.3,Cold front – slow retrieves deep.,Falling
2025-03-30,04:53,32.0,11.874887326360119,1012.9,Clear,12.96,120,30.02,9.997862483098704,CLR,,,24.81348676239,,2867.45416,KBOI,"Warmwater (e.g., bass)",25.5,Cold front – slow retrieves deep.,Rising
2025-03-30,03:53,33.08,11.5886196225391,1012.9,Clear,5.4,170,30.92,9.997862483098704,CLR,,,30.07275357182,,2867.45416,KBOI,"Warmwater (e.g., bass)",30.4,Cold front – slow retrieves deep.,Falling
2025-03-30,02:53,35.96,10.771542709162144,1013.6,Clear,5.4,60,33.08,9.997862483098704,CLR,,,33.357007946407,,2867.45416,KBOI,"Warmwater (e.g., bass)",33.3,Cold front – slow retrieves deep.,Rising
2025-03-30,01:53,35.96,10.771542709162144,1013.9,Clear,0,0,33.08,9.997862483098704,CLR,,,,,2867.45416,KBOI,"Warmwater (e.g., bass)",36.0,Cold front – slow retrieves deep.,Rising
